iso,country_name,year,region,state_legit,rule_of_law,gov_effectiveness,gdp,donor,sids
AFG,Afghanistan,2006,South Asia,1.6999999999999993,-1.863189,-1.430343,0.353720597,0,0
ARM,Armenia,2006,Central and West Asia,3,-0.5464354,-0.2545792,2.697018983,0,0
AUS,Australia,2006,Oceania,9,1.77004,1.711956,50.94822497,1,0
AZE,Azerbaijan,2006,Central and West Asia,1.9000000000000004,-0.8850427,-0.6535253000000001,3.501041807,0,0
BGD,Bangladesh,2006,South Asia,1,-0.9039655000000001,-0.8245271000000001,0.8094736327000001,0,0
BTN,Bhutan,2006,South Asia,1.5999999999999996,0.1937875,0.2366175,1.572462107,0,0
CHN,People's Republic of China,2006,East Asia,1.5,-0.6394754,0.0704749,3.800759082,1,0
GEO,Georgia,2006,Central and West Asia,2.3,-0.46390459999999994,-0.2444875,2.563543091,0,0
IDN,Indonesia,2006,Southeast Asia,3.3,-0.7190338000000001,-0.3315875,2.289422012,1,0
IND,India,2006,South Asia,5.2,0.17733110000000002,-0.0983199,1.0146276410000001,1,0
JPN,Japan,2006,East Asia,8.2,1.363448,1.589435,33.53151856,1,0
KAZ,Kazakhstan,2006,Central and West Asia,2.5,-1.015587,-0.4263095,7.837629145,1,0
KGZ,Kyrgyz Republic,2006,Central and West Asia,1.6999999999999993,-1.313625,-0.8058546999999999,0.8371337991000001,0,0
KHM,Cambodia,2006,Southeast Asia,2.2,-1.234537,-0.9666379999999999,0.7596475657999999,0,0
KOR,Republic of Korea,2006,East Asia,6.1,0.8714591999999999,1.045397,22.192185119999998,1,0
LAO,Lao People's Democratic Republic,2006,Southeast Asia,2.0999999999999996,-1.01524,-0.9770249,1.252693903,0,0
LKA,Sri Lanka,2006,South Asia,1.4000000000000004,0.1753448,-0.1612208,2.39843236,0,0
MMR,Myanmar,2006,Southeast Asia,0.8000000000000007,-1.533385,-1.453449,0.6099960293,0,0
MNG,Mongolia,2006,East Asia,3.8,-0.3195785,-0.4841076,2.216922881,0,0
MYS,Malaysia,2006,Southeast Asia,4.1,0.4673473,1.267115,7.531364872,1,0
NPL,Nepal,2006,South Asia,0.8000000000000007,-0.6230243000000001,-0.9054664000000001,0.6306874562,0,0
NZL,New Zealand,2006,Oceania,9,1.8082220000000002,1.5878809999999999,35.637607239999994,1,0
